Sample ID;Sample;Collector Name;Sampling Site;Latitude;Longitude;Latitude Start;Longitude Start;Latitude End;Longitude End;Distance to Reef (Nautic Miles);Replica;Instrument;Sampling date;Sampling Time;Depth (m);Filtration Volume (L);Filtration Duration (min);Filter Porosity (µm);Extraction date;Qubit Concentration (ng/µL);Initial Volume (µL);Final Volume (µL);DNA Volume for 2 ng/µL (µL);H2O Volume (µL) 2;DNA 2 ng/µL Qubit Concentration (ng/µL);PCR date;Primer;Barcod;Purification date;Amplicon Volume (µL) ;AmpureXP Volume (µL);Amplicon Concentration (ng/µL);Sequencing date;Run name;Quantity (ng);Volume for Pool (µL)
Ma_1NM_3;OS_00000013;Julie/Lucie/Yannick;Maatea;-17.6176791;-149.8422233;-17.613872;-149.840415;-17.612;-149.841;1;3;Robot;14/06/2023;13h40;5;20;;1.2µm;19/06/2023;6,92;100;50;15,65;34,35;1,88;04/07/2024;MiFish-U;7;04/07/2024;133;239,4;10,4;10/07/2024;Run_2;100;9,62
Ma_0,5NM_1;OS_00000014;Julie/Lucie/Yannick;Maatea;-17.611604;-149.836388;-17.612;-149.834;-17.609;-149.8388;0,5;1;Robot;14/06/2023;14h14;5;20;;1.2µm;19/06/2023;1,83;100;50;50;0;1,79;04/07/2024;MiFish-U;8;04/07/2024;133;239,4;10;10/07/2024;Run_2;100;10
Ma_0,5NM_2;OS_00000015;Julie/Lucie/Yannick;Maatea;-17.611604;-149.836388;-17.612;-149.832;-17.608634;-149.827706;0,5;2;Robot;14/06/2023;14h50;5;20;;1.2µm;19/06/2023;8,62;100;50;12,57;37,43;2,08;04/07/2024;MiFish-U;9;04/07/2024;133;239,4;11,8;10/07/2024;Run_2;100;8,47
Ma_0,5NM_3;OS_00000016;Julie/Lucie/Yannick;Maatea;-17.611604;-149.836388;-17.614444;-149.828056;-17.610556;-149.829167;0,5;3;Robot;19/06/2023;16h10;5;20;7;1.2µm;20/06/2023;3,02;100;50;35,87;14,13;2;04/07/2024;MiFish-U;10;04/07/2024;133;239,4;5,66;10/07/2024;Run_2;100;17,67
Ta_10NM_1;OS_00000021;Julie/Lucie/Yannick;Taotaha;-17.5891932;-150.0820805;-17.593;-150.07;-17.6;-150.075;10;1;Robot;15/06/2023;7h20;5;20;;1.2µm;19/06/2023;9,56;100;50;11,33;38,67;1,82;04/07/2024;MiFish-U;2;09/07/2024;130;234;16,7;11/07/2024;Run_3;100;5,99
Ta_10NM_2;OS_00000022;Julie/Lucie/Yannick;Taotaha;-17.5891932;-150.0820805;-17.6;-150.075;-17.607;-150.08;10;2;Robot;15/06/2023;7h40;5;20;20;1.2µm;19/06/2023;14,3;100;50;7,57;42,43;2,02;04/07/2024;MiFish-U;3;09/07/2024;138;248,4;11,4;11/07/2024;Run_3;100;8,77
Ta_10NM_3;OS_00000023;Julie/Lucie/Yannick;Taotaha;-17.5891932;-150.0820805;-17.607;-150.08;-17.613;-150.083;10;3;Robot;15/06/2023;8h20;5;20;20;1.2µm;19/06/2023;16,1;100;50;6,73;43,27;;04/07/2024;MiFish-U;4;09/07/2024;140;252;20,4;11/07/2024;Run_3;100;4,9
Ta_5NM_1;OS_00000024;Julie/Lucie/Yannick;Taotaha;-17.558862;-149.9993021;-17.556;-149.995;-17.556;-150.001;5;1;Robot;15/06/2023;9h25;5;20;;1.2µm;19/06/2023;10,5;100;50;10,32;39,68;1,96;04/07/2024;MiFish-U;23;04/07/2024;133;239,4;10,5;10/07/2024;Run_2;100;9,52
Ta_5NM_2;OS_00000025;Julie/Lucie/Yannick;Taotaha;-17.558862;-149.9993021;-17.567;-150.002;-17.574;-150.005;5;2;Robot;15/06/2023;9h58;5;20;20;1.2µm;19/06/2023;11,8;100;50;9,18;40,82;1,87;04/07/2024;MiFish-U;24;04/07/2024;133;239,4;20;10/07/2024;Run_2;100;5
Ta_5NM_3;OS_00000026;Julie/Lucie/Yannick;Taotaha;-17.558862;-149.9993021;-17.575;-150.006;-17.582;-150.007;5;3;Robot;15/06/2023;10h20;5;20;;1.2µm;19/06/2023;4,9;100;50;22,1;27,9;1,83;04/07/2024;MiFish-U;1;09/07/2024;80;144;8,74;11/07/2024;Run_3;100;11,44
Ta_2NM_1;OS_00000027;Julie/Lucie/Yannick;Taotaha;-17.5402903;-149.951995;-17.537;-149.95;-17.544;-149.952;2;1;Robot;15/06/2023;11h20;5;20;;1.2µm;19/06/2023;3,46;100;50;31,3;18,7;1,9;04/07/2024;MiFish-U;17;04/07/2024;133;239,4;57;10/07/2024;Run_2;100;1,75
Ta_2NM_2;OS_00000028;Julie/Lucie/Yannick;Taotaha;-17.5402903;-149.951995;-17.544;-149.952;-17.55;-149.953;2;2;Robot;15/06/2023;11h42;5;20;;1.2µm;19/06/2023;6,72;100;50;16,12;33,88;1,83;04/07/2024;MiFish-U;18;04/07/2024;133;239,4;51,2;10/07/2024;Run_2;100;1,95
Ta_2NM_3;OS_00000029;Julie/Lucie/Yannick;Taotaha;-17.5402903;-149.951995;-17.55;-149.953;-17.554;-149.953;2;3;Robot;15/06/2023;12h;5;;20;1.2µm;20/06/2023;6,4;100;50;16,92;33,08;1,97;04/07/2024;MiFish-U;19;04/07/2024;133;239,4;36,4;10/07/2024;Run_2;100;2,75
