;Species;tax.id;Genus;Family;Order;Class;Phylum;Kingdom;Domain;DemersPelag
302;Ostorhinchus nigrofasciatus;308070;Ostorhinchus;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
303;Ostorhinchus novemfasciatus;316370;Ostorhinchus;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
304;Ostorhinchus relativus;1960704;Ostorhinchus;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
305;Ostracion cubicus;229058;Ostracion;Ostraciidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
306;Ostracion meleagris;342444;Ostracion;Ostraciidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
307;Oxycheilinus arenatus;997973;Oxycheilinus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
308;Oxycheilinus unifasciatus;241329;Oxycheilinus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
309;Oxyurichthys cornutus;1916822;Oxyurichthys;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
310;Palutrus pruinosa;2589342;Palutrus;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
311;Paracirrhites arcatus;215373;Paracirrhites;Cirrhitidae;Centrarchiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
312;Paracirrhites forsteri;100206;Paracirrhites;Cirrhitidae;Centrarchiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
313;Paracirrhites hemistictus;1068870;Paracirrhites;Cirrhitidae;Centrarchiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
314;Parapercis millepunctata;1156123;Parapercis;Pinguipedidae;Uranoscopiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
315;Parupeneus barberinus;475168;Parupeneus;Mullidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
316;Parupeneus ciliatus;435217;Parupeneus;Mullidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
317;Parupeneus cyclostomus;586844;Parupeneus;Mullidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
318;Parupeneus insularis;1156124;Parupeneus;Mullidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
319;Parupeneus multifasciatus;626244;Parupeneus;Mullidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
320;Parupeneus pleurostigma;603997;Parupeneus;Mullidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
